Ten_Truyen,Tac_Gia,The_Loai,Tinh_Trang,Luot_Xem,Luot_Sao,Luot_Binh_Luan,Luot_Cam_On,Link
Mau xuyên: Minh hoàng ở trên ta ở dưới,Cẩm Tiểu Nhàn,"Nguyên sang , Ngôn tình , Cổ đại , Hiện đại , HE , Tình cảm , Khoa học viễn tưởng , Huyền huyễn , Ngọt văn , Hệ thống , Song khiết 🕊️ , Xuyên nhanh , Nữ cường , Ngược tra , 1v1",Hoàn thành,755573,615,56,156,https://wikicv.net/truyen/mau-xuyen-minh-hoang-o-tren-ta-o-duoi-WSpGce8h7Byb_HAN
Trọng sinh nông thôn hảo tức phụ,Hồ Đồ,"Nguyên sang , Ngôn tình , Cận đại , HE , Tình cảm , Ngọt văn , Trọng sinh , Làm giàu , Cẩu huyết , Kiếp trước kiếp này , 1v1 , Thị giác nữ chủ",Hoàn thành,755508,536,42,135,https://wikicv.net/truyen/trong-sinh-nong-thon-hao-tuc-phu-WGsKMXCVfBxdFx2H
Tà Đế cuồng phi: Quỷ Vương tuyệt sắc sủng thê,Bộ Nguyệt Phất Thường,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Báo thù , Ngọt văn , Trọng sinh , Hào môn thế gia , Trạch đấu , Cung đình hầu tước , Duyên trời tác hợp , Ngược tra , 1v1 , Thị giác nữ chủ",Hoàn thành,754834,103,5,41,https://wikicv.net/truyen/ta-de-cuong-phi-quy-vuong-tuyet-sac-sung-XUF2nVS4CHm_Hlrn
Nữ chủ nàng tẩu tử,Hoắc Hương Cô,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Xuyên việt , Hệ thống , Song khiết 🕊️ , Xuyên thư , Hào môn thế gia , Nữ phụ , Cung đình hầu tước , Tiểu bạch văn , Xuyên thành vai ác , Kim bài đề cử 🥇 , Ngân bài đề cử 🥈",Hoàn thành,754831,4632,242,1543,https://wikicv.net/truyen/nu-chu-nang-tau-tu-W7mYF1S4CDI%7E7Tdx
Mỗi cái thế giới đều ở bị quỷ quái nhóm cầu ôm một cái,Bôn Bào Đích Đào Tử,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Kinh dị , Huyền huyễn , Ngọt văn , Hệ thống , Song khiết 🕊️ , Xuyên nhanh , Vườn trường , Nhẹ nhàng , Linh dị thần quái , 1v1 , Thị giác nữ chủ , Chữa lành",Hoàn thành,753750,19104,951,6422,https://wikicv.net/truyen/moi-cai-the-gioi-deu-o-bi-quy-quai-nhom--ZaxZBVS4CH9qLjCv
Dược y thản nhiên sinh hoạt,Quỷ Quỷ Mộng Du,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Làm ruộng , Huyền huyễn , Dị thế , Tu chân , Xuyên việt , Tùy thân không gian , Làm giàu , Y thuật , Thăng cấp lưu , Sảng văn , Nữ cường , 1v1 , Thị giác nữ chủ",Hoàn thành,753499,649,18,156,https://wikicv.net/truyen/duoc-y-than-nhien-sinh-hoat-XBHJclS4CFXMtimy
Hắc nguyệt quang cầm chắc BE kịch bản,Đằng La Vi Chi,"Nguyên sang , Ngôn tình , Cổ đại , HE , SE , Tình cảm , Tiên hiệp , Tu chân , Xuyên việt , Cẩu huyết , Kim bài đề cử 🥇 , Thị giác nữ chủ , Tra nam",Hoàn thành,753354,5433,1430,2385,https://wikicv.net/truyen/hac-nguyet-quang-cam-chac-be-kich-ban-XxnaBlS4CBcX%7EvaT
Trở về 80: Mang theo cả nhà sáu khẩu quá ngày lành,Dư Phất,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Trọng sinh , Niên đại văn",Hoàn thành,753016,4128,58,370,https://wikicv.net/truyen/tro-ve-80-mang-theo-ca-nha-sau-khau-qua--ZI_f2PTaEBKZgpgc
Nhất phẩm tiên kiều,Văn Phiêu Quá Phong,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tiên hiệp , Huyền huyễn , Tu chân , Trọng sinh , Thần tiên yêu quái , Tùy thân không gian , Thăng cấp lưu , Sảng văn , Kiếp trước kiếp này",Hoàn thành,752781,1972,34,294,https://wikicv.net/truyen/nhat-pham-tien-kieu-WJljwXCVfE12QQin
Tú tài gia tiểu kiều nương,Giáp Ất,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Làm ruộng , Xuyên việt , Ngọt văn , Song khiết 🕊️ , Mỹ thực , Làm giàu , Nhẹ nhàng , Bình bộ thanh vân , Ngược tra , 1v1 , Thị giác nữ chủ",Hoàn thành,752568,1032,46,500,https://wikicv.net/truyen/tu-tai-gia-tieu-kieu-nuong-Wd78gO8h7C_Oqk9u
Ngô gia kiều thê,Mạt Trà Khúc Kỳ,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Xuyên việt , Ngọt văn , Trọng sinh , Song khiết 🕊️ , Hào môn thế gia , Thanh mai trúc mã",Hoàn thành,750352,1401,40,324,https://wikicv.net/truyen/ngo-gia-kieu-the-WAt8OHCVfCcj8lF0
"Cả nhà nghe lén tiếng lòng ta sát điên rồi, ta phụ trách ăn nãi",Hạ Thanh Thanh,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Xuyên thư , Sảng văn , Đoàn sủng",Hoàn thành,748939,5762,147,1388,https://wikicv.net/truyen/ca-nha-nghe-len-tieng-long-ta-sat-dien-r-ZWr%7EwlS4CDl1iP1e
Xuyên đến 70: Kiều khí thanh niên trí thức mang không gian dưỡng tam oa,Nhiếp Diễm Diễm,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Xuyên việt , Ngọt văn , Tùy thân không gian , Thị giác nữ chủ , Manh bảo , Dưỡng oa , Niên đại văn",Hoàn thành,748779,654,29,157,https://wikicv.net/truyen/xuyen-den-70-kieu-khi-thanh-nien-tri-thu-Yv3OzVS4CH_OhO7J
"Ngọt ngào thí hôn: Dung thiếu, cường thế sủng thê",Thất Tích,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Ngọt văn , Song khiết 🕊️ , Làm giàu , Hào môn thế gia , Giới giải trí , Đô thị tình duyên , Duyên trời tác hợp , Ngược tra",Hoàn thành,748308,3,1,2,https://wikicv.net/truyen/ngot-ngao-thi-hon-dung-thieu-cuong-the-s-WdOro%7E8h7HS_WXDC
Xuyên nhanh chi kiều thê,Tiếu Giai Nhân,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Xuyên việt , Ngọt văn , Song khiết 🕊️ , Xuyên nhanh , Cung đình hầu tước , Ngân bài đề cử 🥈 , 1v1",Hoàn thành,748249,1819,114,728,https://wikicv.net/truyen/xuyen-nhanh-chi-kieu-the-WyTGnO8h7HZ18HRU
Trọng sinh Đệ nhất quân tẩu,Noãn Phong Phất Diện,"Nguyên sang , Ngôn tình , Cận đại , Hiện đại , HE , Tình cảm , Báo thù , Ngọt văn , Trọng sinh , Song khiết 🕊️ , Làm giàu , Quân văn , Đô thị tình duyên , Duyên trời tác hợp , Ngược tra",Hoàn thành,747920,231,4,9,https://wikicv.net/truyen/trong-sinh-de-nhat-quan-tau-Webwre8h7H4Z4aSQ
Niên đại văn pháo hôi nguyên phối hạnh phúc lên,Tụ Trắc,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Ngọt văn , Xuyên thư , Cưới trước yêu sau , Sảng văn , Pháo hôi , Kim bài đề cử 🥇 , Nghịch tập , 1v1 , Thị giác nữ chủ , Dưỡng oa , Niên đại văn , Nhiệt liệt , Tình hữu độc chung , Kịch thấu",Hoàn thành,746718,5019,249,1347,https://wikicv.net/truyen/nien-dai-van-phao-hoi-nguyen-phoi-hanh-p-ZRonhVS4CH8z%7EyQB
Điền viên mật sủng: Nông gia tiểu nương tử nóng rát,Niệm Dĩ Thương,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Làm ruộng , Dị thế , Xuyên việt , NP",Tạm ngưng,745198,114,17,29,https://wikicv.net/truyen/dien-vien-mat-sung-nong-gia-tieu-nuong-t-Wj5_au8h7E0HE2Kz
Xuyên thành 70 kiều kiều nữ,Tự Y,"Nguyên sang , Ngôn tình , Cận đại , Hiện đại , HE , Tình cảm , Khoa học viễn tưởng , Làm ruộng , Xuyên việt , Tùy thân không gian , 1v1",Hoàn thành,744578,929,35,163,https://wikicv.net/truyen/xuyen-thanh-70-kieu-kieu-nu-W9YH9FS4CHSFOodp
Cẩm tú điền viên: Y nữ gả hiền phu,Thanh Phong Mạc Vãn,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Làm ruộng , Xuyên việt , Tùy thân không gian , Làm giàu , Ngược tra",Hoàn thành,744488,26,14,6,https://wikicv.net/truyen/cam-tu-dien-vien-y-nu-ga-hien-phu-WTTVa%7E8h7E6YD__b
Ca ca quá tốt làm sao bây giờ [ xuyên thư ],Thập Lục Nguyệt Tây Qua,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Xuyên việt , Ngọt văn , Song khiết 🕊️ , Xuyên thư , Hào môn thế gia , Nữ phụ , Giới giải trí , Kim bài đề cử 🥇 , 1v1 , Thị giác nữ chủ",Hoàn thành,743669,842,110,354,https://wikicv.net/truyen/ca-ca-qua-tot-lam-sao-bay-gio-xuyen-thu-WkMJTO8h7C6HYvyF
Nông gia xảo tức phụ,Tử Tuyết Ngưng Yên,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Làm ruộng , Xuyên việt , Ngọt văn , Làm giàu , Cung đình hầu tước , Nữ cường",Hoàn thành,742792,485,14,17,https://wikicv.net/truyen/nong-gia-xao-tuc-phu-WP8yae8h7HgIsZxI
Trọng sinh niên đại văn không gian nơi tay,Dữ Phạn,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Trọng sinh , Tùy thân không gian , Xuyên thư , 1v1 , Thị giác nữ chủ , Niên đại văn",Hoàn thành,742776,1025,3,76,https://wikicv.net/truyen/trong-sinh-nien-dai-van-khong-gian-noi-t-YPwNWlS4CENE6PaD
Xuyên thành vườn trường văn nam chủ mẹ kế,Lâm Miên Miên,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Xuyên việt , Ngọt văn , Xuyên thư , Hào môn thế gia , Vườn trường , Nhẹ nhàng , Đô thị tình duyên , Kim bài đề cử 🥇 , Kim Bảng 🏆 , Vả mặt , 1v1 , Thị giác nữ chủ , Phi song khiết 🌂",Hoàn thành,742659,6070,365,1928,https://wikicv.net/truyen/xuyen-thanh-vuon-truong-van-nam-chu-me-k-YPBRhFS4CESV5Cfa
Những năm 60 tiểu điếm chủ,Hồ Đồ,"Nguyên sang , Ngôn tình , Cận đại , Hiện đại , HE , Tình cảm , Làm ruộng , Trọng sinh , Hệ thống , Làm giàu , Kim bài đề cử 🥇",Hoàn thành,742521,2564,100,336,https://wikicv.net/truyen/nhung-nam-60-tieu-diem-chu-WTIaQO8h7GpJSHrB
"Sủng phi đương đạo: Hoàng Thượng, mau nằm tốt!",Nhan Nhược Khuynh Thành,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Huyền huyễn , Xuyên việt , Ngọt văn , Thần tiên yêu quái , Song khiết 🕊️ , Cung đấu , Trạch đấu , Cung đình hầu tước , Duyên trời tác hợp , Ngược tra",Hoàn thành,742155,3698,7,620,https://wikicv.net/truyen/sung-phi-duong-dao-hoang-thuong-mau-nam--WRr_eO8h7G9DZpMa
,Hồ Đồ,,Đang cập nhật,0,0,0,0,https://wikicv.net/truyen/thap-nien-70-hoc-ba-W6dVXFS4CEac75Ca
Đại thần dẫn nhập hoài: 101 nụ hôn sâu/ Hàng tỉ sao trời không kịp em,Diệp Phi Dạ,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Ngọt văn , Song khiết 🕊️ , Làm giàu , Hào môn thế gia , Đô thị tình duyên , Duyên trời tác hợp",Hoàn thành,740319,1,7,0,https://wikicv.net/truyen/dai-than-dan-nhap-hoai-101-nu-hon-sau-ha-WP4wpu8h7HgIsZFJ
Trọng sinh dân quốc kiều tiểu thư,Thập Nguyệt Vi Vi Lương,"Nguyên sang , Ngôn tình , Cận đại , Hiện đại , HE , Tình cảm , Trọng sinh , Dân quốc , Sảng văn , Kim bài đề cử 🥇 , Vả mặt",Hoàn thành,739797,2034,6,705,https://wikicv.net/truyen/trong-sinh-dan-quoc-kieu-tieu-thu-WVHowO8h7EF%7E8YWB
"Phế sài hưu phu, nhị gả ôn nhu bạo quân",Quân Phi Nguyệt,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Tranh bá , Báo thù , Dị thế , Xuyên việt , Ngọt văn , Song khiết 🕊️ , Làm giàu , Hào môn thế gia , Trạch đấu , Cường cường , Hoan hỉ oan gia , Cung đình hầu tước , Sảng văn , Hài hước , Ấm áp , Duyên trời tác hợp , Nữ cường , Ngược tra , Tương ái tương sát , Nghịch tập , Vả mặt , 1v1",Hoàn thành,739077,39,18,17,https://wikicv.net/truyen/phe-sai-huu-phu-nhi-ga-on-nhu-bao-quan-Wj5%7EGO8h7E0HE2Ku
,Hồ Đồ,,Đang cập nhật,0,0,0,0,https://wikicv.net/truyen/xuyen-qua-70-lam-thanh-nien-tri-thuc-XqzWa1S4CHmiSwTw
Xuyên qua đến nguyên thủy bộ lạc,Trần Hướng Bắc,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Làm ruộng , Huyền huyễn , Dị thế , Xuyên việt , Ngọt văn , Thú nhân , Song khiết 🕊️ , Sinh con , Nhẹ nhàng",Hoàn thành,738651,2690,47,660,https://wikicv.net/truyen/xuyen-qua-den-nguyen-thuy-bo-lac-WI8B8ju26yEasL8H
Linh điền nông nữ tiểu đương gia,Cương Thanh,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Làm ruộng , Huyền huyễn , Dị năng , Ngọt văn , Song khiết 🕊️ , Tùy thân không gian , Trạch đấu , Thanh mai trúc mã , Duyên trời tác hợp , Nữ cường",Hoàn thành,737480,418,14,104,https://wikicv.net/truyen/linh-dien-nong-nu-tieu-duong-gia-WdIniO8h7B5%7E7epR
Hào môn khí nữ: Trọng sinh chi thiên tài thần toán,Ninh Tiểu Bạch,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Huyền huyễn , Trọng sinh , Phong thủy , Linh dị thần quái",Tạm ngưng,736525,2128,12,164,https://wikicv.net/truyen/hao-mon-khi-nu-trong-sinh-chi-thien-tai--WTyyru8h7BrPAFNX
Pháo hôi nữ phụ: Tay không hủy đi CP,Tiêu Khinh Tùng,"Nguyên sang , Ngôn tình , Cổ đại , Hiện đại , HE , Tình cảm , Khoa học viễn tưởng , Ngọt văn , Hệ thống , Song khiết 🕊️ , Xuyên nhanh , Nữ phụ , Pháo hôi , Nữ cường",Hoàn thành,736037,1159,61,889,https://wikicv.net/truyen/phao-hoi-nu-phu-tay-khong-huy-di-cp-WRaxYO8h7BA7hQap
Nông phụ không gian: Hài tử vương mẫu thân,Hào Mụ,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Xuyên việt , Tùy thân không gian , Làm giàu",Hoàn thành,735971,577,9,50,https://wikicv.net/truyen/nong-phu-khong-gian-hai-tu-vuong-mau-tha-WSf1PO8h7FG4ndvB
Mau xuyên hệ thống: Nữ phụ tâm nguyện bản chép tay,Nhung Y,"Nguyên sang , Ngôn tình , Cổ đại , Hiện đại , HE , Tình cảm , Khoa học viễn tưởng , Ngọt văn , Hệ thống , Xuyên nhanh , Nữ phụ",Hoàn thành,735407,393,27,32,https://wikicv.net/truyen/mau-xuyen-he-thong-nu-phu-tam-nguyen-ban-WRXINO8h7HljCdWG
Nhất phẩm nông môn thê,Giáp Ất,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Làm ruộng , Tranh bá , Xuyên việt , Trạch đấu , Cưới trước yêu sau , Sảng văn , 1v1 , Thị giác nữ chủ , Vô địch lưu",Hoàn thành,735191,366,3,70,https://wikicv.net/truyen/nhat-pham-nong-mon-the-X6eH11S4CH%7EuaBNR
"Hào môn trọng sinh: Quân thiếu, buổi tối thấy!",Nhạc Tiểu Hi,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Huyền huyễn , Báo thù , Dị năng , Ngọt văn , Trọng sinh , Hệ thống , Song khiết 🕊️ , Làm giàu , Hào môn thế gia , Vườn trường , Cường cường , Đô thị tình duyên , Duyên trời tác hợp , Ngược tra",Hoàn thành,734563,255,15,20,https://wikicv.net/truyen/hao-mon-trong-sinh-quan-thieu-buoi-toi-t-WdT8Ee8h7BF_xCkP
Thịnh thế y phi,Phượng Khinh,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Xuyên việt , Ngọt văn , Hào môn thế gia , Trạch đấu , Cường cường",Hoàn thành,733968,519,16,308,https://wikicv.net/truyen/thinh-the-y-phi-WCidZnCVfB6E8ICS
Thập niên 70 làm đại lão [ xuyên thư ],Thời Hòe Tự,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Làm ruộng , Tùy thân không gian , Xuyên thư , Làm giàu , Trạch đấu , Sảng văn , Pháo hôi , Thị giác nam chủ , Thật giả thiếu gia , Niên đại văn",Hoàn thành,732530,3364,214,721,https://wikicv.net/truyen/thap-nien-70-lam-dai-lao-xuyen-thu-XpKc0lS4CCAUpcE4
Ta thu tuổi nhỏ các đại lão làm đồ đệ,Phù Đảo,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Tiên hiệp , Tu chân , Ngọt văn , Xuyên thư , Sảng văn , Nhẹ nhàng , Kim bài đề cử 🥇 , Ngân bài đề cử 🥈 , Kim Bảng 🏆 , Thị giác nữ chủ",Hoàn thành,732217,11105,418,2842,https://wikicv.net/truyen/ta-thu-tuoi-nho-cac-dai-lao-lam-do-de-Xs8F5lS4CBohc%7EGA
Nông gia dược nữ: Phú quý lâm môn,Lãnh Hương Ức,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Làm ruộng , Xuyên việt , Trọng sinh , Thị giác nữ chủ",Hoàn thành,731708,181,5,102,https://wikicv.net/truyen/nong-gia-duoc-nu-phu-quy-lam-mon-Wv5cKe8h7Ar4zZtt
Mẹ kế sau khi thức tỉnh [ 70 ],Thư Thư Thư,"Nguyên sang , Ngôn tình , Cận đại , Hiện đại , HE , Tình cảm , Trọng sinh , Kim bài đề cử 🥇 , Thị giác nữ chủ , Niên đại văn",Hoàn thành,730949,1298,105,292,https://wikicv.net/truyen/me-ke-sau-khi-thuc-tinh-70-YRcz8FS4CDparHx0
Xuyên nhanh: Pháo hôi bà bà nhân sinh,Khuynh Bích Du Nhiên,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Báo thù , Xuyên nhanh , Sảng văn , Nhẹ nhàng , Pháo hôi , Duyên trời tác hợp , Kim bài đề cử 🥇 , Ngược tra , Thị giác nữ chủ",Hoàn thành,730684,3407,85,1118,https://wikicv.net/truyen/xuyen-nhanh-phao-hoi-ba-ba-nhan-sinh-YRorRVS4CA7f3jRE
Xuyên thành niên đại văn lười tức phụ [ 70 ],An Cung Đích Trúc Tử,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Tùy thân không gian , Xuyên thư , Mỹ thực , Sảng văn , Kim bài đề cử 🥇 , 1v1 , Thị giác nữ chủ , Niên đại văn",Hoàn thành,730453,2616,42,376,https://wikicv.net/truyen/xuyen-thanh-nien-dai-van-luoi-tuc-phu-70-ZRmckju26xbwyHOR
Trọng sinh 80: Học bá kiều thê có điểm ngọt,Doãn Gia Lão Lục,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Trọng sinh , Làm giàu , Kiếp trước kiếp này , Nghịch tập , 1v1 , Thị giác nữ chủ , Học bá , Niên đại văn",Hoàn thành,730382,1727,4,26,https://wikicv.net/truyen/trong-sinh-80-hoc-ba-kieu-the-co-diem-ng-YWyBcFS4CGikWppd
"Quân bĩ nông nữ: Trong núi hán tử, không hạn sủng!",Trường Thanh Thụ Trường Thanh,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Xuyên việt , Ngọt văn , Sinh con , Làm giàu , Ngược tra",Hoàn thành,730148,1288,35,130,https://wikicv.net/truyen/quan-bi-nong-nu-trong-nui-han-tu-khong-h-WewmkO8h7H7iq8hw
Phượng khởi Thương Lan: Nghịch thiên tuyệt thế đại tiểu thư,Thần Lạc Vân Khởi,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Huyền huyễn , Dị thế , Xuyên việt , Ngọt văn , Song khiết 🕊️ , Trạch đấu , Cung đình hầu tước , Duyên trời tác hợp , Nữ cường , Ngược tra",Hoàn thành,729267,132,8,42,https://wikicv.net/truyen/phuong-khoi-thuong-lan-nghich-thien-tuye-WZampO8h7FKIqeVR
"Đích nữ Minh phi: Ma tôn, giang sơn tới sính",Dư Phương,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Tiên hiệp , Huyền huyễn , Dị thế , Ngọt văn , Trọng sinh , Song khiết 🕊️ , Trạch đấu , Cường cường , Kiếp trước kiếp này , Duyên trời tác hợp , Tương ái tương sát",Hoàn thành,727785,736,18,69,https://wikicv.net/truyen/dich-nu-minh-phi-ma-ton-giang-son-toi-si-Wj9mBu8h7FLmBPtL
Mang theo của hồi môn xuyên 60,Tây Lương Miêu,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Làm ruộng , Cổ xuyên kim , Niên đại văn",Hoàn thành,727458,1899,41,292,https://wikicv.net/truyen/mang-theo-cua-hoi-mon-xuyen-60-YxB74FS4CAhyykrO
"Độc nhất vô nhị chiếm hữu: Mục tiên sinh, sủng không ngừng!",Công Tử Như Tuyết,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Ngọt văn , Hào môn thế gia , Cẩu huyết , Giới giải trí",Hoàn thành,727206,17,1,1,https://wikicv.net/truyen/doc-nhat-vo-nhi-chiem-huu-muc-tien-sinh--WSFawe8h7HVvQAul
Huyền học xưng bá hiện đại,Nhu Nạo Khinh Mạn,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Huyền huyễn , Huyền học , Xuyên việt , Phong thủy , Cổ xuyên kim , Làm giàu , Kim bài đề cử 🥇",Hoàn thành,725800,1271,71,433,https://wikicv.net/truyen/huyen-hoc-xung-ba-hien-dai-V9kRu3CVfHvzYqP%7E
Mãn cấp người ăn cơm ở niên đại văn nằm yên / Xuyên thư 70 bãi lạn ăn dưa,Bạch Gia,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Làm ruộng , Tùy thân không gian , Xuyên thư , Sảng văn , Kim bài đề cử 🥇 , 1v1 , Thị giác nữ chủ , Niên đại văn",Hoàn thành,723938,5495,167,1485,https://wikicv.net/truyen/man-cap-nguoi-an-com-o-nien-dai-van-nam--Y9SgYVS4CDGDCEt7
Trà môn khuê tú,Gia Mộc,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Trọng sinh , Nhẹ nhàng , Nữ cường",Hoàn thành,723239,436,7,282,https://wikicv.net/truyen/tra-mon-khue-tu-XCZb3VS4CHdA1dN2
Lão tổ tông nàng là thật sự cuồng,Yến Tiểu Mạch,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Xuyên việt , Cung đình hầu tước , Nhẹ nhàng , Hài hước , Thị giác nữ chủ , Lão phu nhân",Hoàn thành,722452,2609,118,350,https://wikicv.net/truyen/lao-to-tong-nang-la-that-su-cuong-YH_CgFS4CHaR68S3
"Nông nữ có điền có điểm nhàn (Nông nữ có điền: Nương tử, thực bưu hãn)",Phạn Đoàn Khai Hoa,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Làm ruộng , Xuyên việt , Ngọt văn , Làm giàu , Nhẹ nhàng",Hoàn thành,722406,1310,27,293,https://wikicv.net/truyen/nong-nu-co-dien-co-diem-nhan-nong-nu-co--W_sQv1S4CAVIwZQf
Gửi qua bưu điện tân nương [ 70 ] / Đại viện dưỡng nhi ký [ 70 ],Lưu Lưu Trư,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Trọng sinh , Xuyên thư , Cưới trước yêu sau , Sảng văn , Trâu già gặm cỏ non , Kim bài đề cử 🥇 , 1v1 , Thị giác nữ chủ",Hoàn thành,722405,3359,46,234,https://wikicv.net/truyen/gui-qua-buu-dien-tan-nuong-70-dai-vien-d-X%7El0vlS4CAHdkbF8
Dị thế tà phượng: Chí tôn độc phi,Băng Tâm Lệ,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Huyền huyễn , Báo thù , Dị thế , Xuyên việt , Ngọt văn , Trọng sinh , Song khiết 🕊️ , Cường cường , Y thuật , Sảng văn , Ngược tra",Hoàn thành,722180,28,6,10,https://wikicv.net/truyen/di-the-ta-phuong-chi-ton-doc-phi-WTT7xe8h7F2vHZRy
"Thiên tài bảo bảo, thần y mẫu thân",Đa Kỳ,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Huyền huyễn , Tu chân , Xuyên việt , Ngọt văn , Tùy thân không gian , Sinh con , Cường cường",Hoàn thành,721934,89,4,24,https://wikicv.net/truyen/thien-tai-bao-bao-than-y-mau-than-WGHFFHCVfF5z2HRR
"Thiên tài cuồng phi, phế vật tam tiểu thư",Tuyết Sơn Tiểu Tiểu Lộc,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Võ hiệp , Huyền huyễn , Báo thù , Dị thế , Xuyên việt , Ngọt văn , Trọng sinh , Hào môn thế gia , Cẩu huyết , Hoan hỉ oan gia , Sảng văn , Thiên chi kiêu tử , Nữ cường , Nghịch tập , Vả mặt , 1v1",Hoàn thành,721707,175,17,39,https://wikicv.net/truyen/thien-tai-cuong-phi-phe-vat-tam-tieu-thu-WkYSBO8h7B7FSuyb
"Xuyên thư sau, ta bị bắt thành giả hệ thống",Hạ Quý Đạo Cốc Hương,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Huyền huyễn , Xuyên việt , Hệ thống , Song khiết 🕊️ , Xuyên thư , Sảng văn , 1v1",Hoàn thành,721660,18282,796,4456,https://wikicv.net/truyen/xuyen-thu-sau-ta-bi-bat-thanh-gia-he-tho-YZ%7ECa1S4CHV_KhTd
Dân quốc nữ xứng nuông chiều ký [ xuyên thư ],Bệ Hạ Bất Thượng Triều,"Nguyên sang , Ngôn tình , Cận đại , Hiện đại , HE , Tình cảm , Báo thù , Ngọt văn , Trọng sinh , Xuyên thư , Hào môn thế gia , Nữ phụ , Dân quốc , Pháo hôi , Kim bài đề cử 🥇 , Song trọng sinh",Hoàn thành,721147,1833,40,766,https://wikicv.net/truyen/dan-quoc-nu-xung-nuong-chieu-ky-xuyen-th-WfFm8%7E8h7AYTD3Lt
Nhất phẩm Ngỗ tác,Phượng Kim,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Trinh thám , Báo thù , Xuyên việt , Ngọt văn , Phá án , Cung đấu , Quân văn , Cung đình hầu tước , Sảng văn , Cải trang giả dạng , Nữ cường , Thị giác nữ chủ",Hoàn thành,719353,4032,122,931,https://wikicv.net/truyen/nhat-pham-ngo-tac-WIxw1nCVfHydblnn
